Round,Loss,AUC,Sensitivity,Specificity,,,,,,,,,
0,0.68743062,0.500093587,1,0.000187173,,,,,,,,,ROC Curve
1,0.446931601,0.825383139,0.912951801,0.737814478,,,,,,,,fpr,tpr
2,0.190843746,0.906377631,0.899163189,0.913592073,,,,,,,,0,0
3,0.183690861,0.908296029,0.88055022,0.936041839,,,,,,,,0.07580976,0.91700523
4,0.183327109,0.910265651,0.908458634,0.912072667,,,,,,,,1,1
5,0.176749319,0.91336796,0.914773355,0.911962565,,,,,,,,,
6,0.184162199,0.910396467,0.882791283,0.938001652,,,,,,,,,
7,0.178011924,0.912737394,0.891965291,0.933509496,,,,,,,,,
8,0.177351922,0.910397254,0.87103398,0.949760528,,,,,,,,,
9,0.172203332,0.915716387,0.892517277,0.938915497,,,,,,,,,
10,0.172173977,0.913641728,0.884855711,0.942427746,,,,,,,,,
11,0.169411987,0.917054394,0.896833808,0.937274979,,,,,,,,,
12,0.167282119,0.918229274,0.906780597,0.929677952,,,,,,,,,
13,0.166466221,0.920093332,0.925735797,0.914450867,,,,,,,,,
14,0.165254414,0.920232367,0.914442163,0.926022571,,,,,,,,,
15,0.164392874,0.920597733,0.924190236,0.91700523,,,,,,,,,
